Ref,Val,Package,PosX,PosY,Rot,Side
C1,100nF,C_0603,4.800,-5.200,0,Bottom
C10,100nF,C_0603,4.800,11.800,0,Bottom
C11,100nF,C_0603,4.800,28.800,0,Bottom
C12,100nF,C_0603,22.800,28.800,0,Bottom
C13,100nF,C_0603,40.800,28.800,0,Bottom
C14,100nF,C_0603,-11.000,11.900,0,Bottom
C15,100nF,C_0603,33.000,-7.100,0,Bottom
C16,100nF,C_0603,96.000,49.400,0,Bottom
C17,100nF,C_0603,96.000,11.900,0,Bottom
C18,100nF,C_0603,12.000,48.400,0,Bottom
C19,100nF,C_0603,63.000,66.900,0,Bottom
C2,100nF,C_0603,22.800,-5.200,0,Bottom
C20,100nF,C_0603,34.000,63.000,0,Bottom
C21,470uF 10V,C_1210_BULK,8.500,63.000,0,Bottom
C22,10uF,C_0805,14.000,63.000,0,Bottom
C23,10uF,C_0805,19.000,63.000,0,Bottom
C24,100nF,C_0603,84.000,40.000,0,Bottom
C25,100nF,C_0603,96.000,40.000,0,Bottom
C26,10nF,C_0603,59.000,24.000,0,Bottom
C27,10nF,C_0603,63.500,24.000,0,Bottom
C3,100nF,C_0603,40.800,-5.200,0,Bottom
C4,100nF,C_0603,58.800,-5.200,0,Bottom
C5,100nF,C_0603,76.800,-5.200,0,Bottom
C6,100nF,C_0603,94.800,-5.200,0,Bottom
C7,100nF,C_0603,58.800,11.800,0,Bottom
C8,100nF,C_0603,40.800,11.800,0,Bottom
C9,100nF,C_0603,22.800,11.800,0,Bottom
D1,1N4148W,D_SOD123,-5.600,-5.200,0,Bottom
D10,1N4148W,D_SOD123,48.400,11.800,0,Bottom
D11,1N4148W,D_SOD123,-5.600,28.800,0,Bottom
D12,1N4148W,D_SOD123,12.400,28.800,0,Bottom
D13,1N4148W,D_SOD123,30.400,28.800,0,Bottom
D14,1N4148W,D_SOD123,79.000,36.500,0,Bottom
D2,1N4148W,D_SOD123,12.400,-5.200,0,Bottom
D3,1N4148W,D_SOD123,30.400,-5.200,0,Bottom
D4,1N4148W,D_SOD123,48.400,-5.200,0,Bottom
D5,1N4148W,D_SOD123,66.400,-5.200,0,Bottom
D6,1N4148W,D_SOD123,84.400,-5.200,0,Bottom
D7,1N4148W,D_SOD123,-5.600,11.800,0,Bottom
D8,1N4148W,D_SOD123,12.400,11.800,0,Bottom
D9,1N4148W,D_SOD123,30.400,11.800,0,Bottom
ENC1,EC11E + switch,EC11E,90.000,25.500,0,Top
F1,1.1A PPTC,F_1206,2.000,63.000,0,Bottom
JS1,2-axis analog thumbstick,Joystick_20mm,63.000,38.000,0,Top
LED1,SK6812MINI-E,SK6812MINI,0.000,-4.700,0,Top
LED10,SK6812MINI-E,SK6812MINI,0.000,12.300,0,Top
LED11,SK6812MINI-E,SK6812MINI,0.000,29.300,0,Top
LED12,SK6812MINI-E,SK6812MINI,18.000,29.300,0,Top
LED13,SK6812MINI-E,SK6812MINI,36.000,29.300,0,Top
LED14,SK6812-3535,SK6812_3535,-11.000,8.500,0,Bottom
LED15,SK6812-3535,SK6812_3535,33.000,-10.500,0,Bottom
LED16,SK6812-3535,SK6812_3535,96.000,46.000,0,Bottom
LED17,SK6812-3535,SK6812_3535,96.000,8.500,0,Bottom
LED18,SK6812-3535,SK6812_3535,12.000,45.000,0,Bottom
LED19,SK6812-3535,SK6812_3535,63.000,63.500,0,Bottom
LED2,SK6812MINI-E,SK6812MINI,18.000,-4.700,0,Top
LED3,SK6812MINI-E,SK6812MINI,36.000,-4.700,0,Top
LED4,SK6812MINI-E,SK6812MINI,54.000,-4.700,0,Top
LED5,SK6812MINI-E,SK6812MINI,72.000,-4.700,0,Top
LED6,SK6812MINI-E,SK6812MINI,90.000,-4.700,0,Top
LED7,SK6812MINI-E,SK6812MINI,54.000,12.300,0,Top
LED8,SK6812MINI-E,SK6812MINI,36.000,12.300,0,Top
LED9,SK6812MINI-E,SK6812MINI,18.000,12.300,0,Top
MOD1,RP2040 Pico-form-factor module,RP2040_Module_Pico,17.340,9.500,0,Bottom
R1,10k,R_0603,84.000,37.500,0,Bottom
R10,470R,R_0603,24.000,63.000,0,Bottom
R2,10k,R_0603,96.000,37.500,0,Bottom
R3,1k,R_0603,59.000,26.500,0,Bottom
R4,1k,R_0603,63.500,26.500,0,Bottom
R5,1M,R_0603,1.320,59.500,0,Bottom
R6,1M,R_0603,23.160,59.500,0,Bottom
R7,1M,R_0603,45.000,59.500,0,Bottom
R8,1M,R_0603,66.840,59.500,0,Bottom
R9,1M,R_0603,88.680,59.500,0,Bottom
SW1,Kailh Choc v1,Choc_v1,0.000,0.000,0,Top
SW10,Kailh Choc v1,Choc_v1,54.000,17.000,0,Top
SW11,Kailh Choc v1,Choc_v1,0.000,34.000,0,Top
SW12,Kailh Choc v1,Choc_v1,18.000,34.000,0,Top
SW13,Kailh Choc v1,Choc_v1,36.000,34.000,0,Top
SW2,Kailh Choc v1,Choc_v1,18.000,0.000,0,Top
SW3,Kailh Choc v1,Choc_v1,36.000,0.000,0,Top
